design,horizon,config_id,status,train_days,max_splits,mae,rmse,smape,nmae,nrmse,skill_vs_persistence,valid_splits,elapsed_sec,config_json,rank_metric
lstm_compressed_lstm,1,lstmenc_c8_k12_seq8_u32_huber,ok,45,2,0.12625746011734013,0.12625746011734013,6.992962589765909,,,0.8380787406731227,2,77.89,"{""config_id"": ""lstmenc_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""lstm"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}",0.12625746011734013
lstm_compressed_lstm,3,lstmenc_c8_k12_seq8_u32_huber,ok,45,2,0.2807852208614349,0.35149750422452897,25.49876764076909,1.0238872091725189,1.183482661503236,0.5628859094506036,2,84.38,"{""config_id"": ""lstmenc_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""lstm"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}",0.2807852208614349
lstm_compressed_lstm,6,lstmenc_c12_k16_seq12_u48_huber,ok,45,2,0.28692856709162395,0.3360622169763814,28.407694080386246,0.6188993576285128,0.7159987692518095,0.5646070554974221,2,151.62,"{""config_id"": ""lstmenc_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""lstm"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}",0.28692856709162395
lstm_compressed_lstm,12,lstmenc_c12_k16_seq12_u48_huber,ok,45,2,0.3902662161986033,0.4801508816435276,36.34169943729084,0.394665737960474,0.4844853695171628,0.3953442721657329,2,105.54,"{""config_id"": ""lstmenc_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""lstm"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}",0.3902662161986033
pca_compressed_lstm,1,pca_c12_k16_seq12_u48_huber,ok,45,2,0.21054033994674687,0.21054033994674687,13.515763615073277,,,0.6807079469078723,2,28.22,"{""config_id"": ""pca_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""statistical"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}",0.21054033994674687
pca_compressed_lstm,3,pca_c12_k16_seq12_u48_huber,ok,45,2,0.2513507306575775,0.26335509515701727,29.577311215319156,0.7646829598890377,0.8055898349579742,0.5469170610604203,2,38.48,"{""config_id"": ""pca_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""statistical"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}",0.2513507306575775
pca_compressed_lstm,6,pca_c8_k12_seq8_u32_huber,ok,45,2,0.38706095198790236,0.4548514149977049,35.147024913509235,0.8323921949316413,0.9647548732817244,0.4084497506153798,2,33.36,"{""config_id"": ""pca_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""statistical"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}",0.38706095198790236
pca_compressed_lstm,12,pca_c12_k16_seq12_u48_huber,ok,45,2,0.4107363893588384,0.4872595234519952,38.27186556711404,0.4189911701412865,0.4980445481116784,0.3844774722446562,2,62.5,"{""config_id"": ""pca_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""statistical"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}",0.4107363893588384
raw_lstm,1,raw_direct_lb24_u32_huber,ok,45,2,0.026265623569488528,0.026265623569488528,2.3006215975504887,,,0.9489641801975143,2,8.51,"{""config_id"": ""raw_direct_lb24_u32_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.1, ""epochs"": 8, ""lookback"": 24, ""loss"": ""huber"", ""units"": 32}, ""model"": ""lstm""}",0.026265623569488528
raw_lstm,3,raw_direct_lb48_u64_huber,ok,45,2,0.20760208725929255,0.2806991310247092,23.560354521082164,0.5803253512498181,0.7906590928643442,0.6049215254702276,2,15.99,"{""config_id"": ""raw_direct_lb48_u64_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.2, ""epochs"": 10, ""lookback"": 48, ""loss"": ""huber"", ""units"": 64}, ""model"": ""lstm""}",0.20760208725929255
raw_lstm,6,raw_direct_lb24_u32_huber,ok,45,2,0.3476383304595947,0.41970559455978296,37.93649115667565,0.7050211262393307,0.8629090174392393,0.39664625002964404,2,9.28,"{""config_id"": ""raw_direct_lb24_u32_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.1, ""epochs"": 8, ""lookback"": 24, ""loss"": ""huber"", ""units"": 32}, ""model"": ""lstm""}",0.3476383304595947
raw_lstm,12,raw_direct_lb24_u32_huber,ok,45,2,0.40706791089226796,0.5272509547305585,36.08758240098874,0.39728820081476135,0.5140870118860492,0.28666273850131696,2,15.53,"{""config_id"": ""raw_direct_lb24_u32_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.1, ""epochs"": 8, ""lookback"": 24, ""loss"": ""huber"", ""units"": 32}, ""model"": ""lstm""}",0.40706791089226796
