design,horizon,config_id,status,train_days,max_splits,mae,rmse,smape,nmae,nrmse,skill_vs_persistence,valid_splits,elapsed_sec,config_json
raw_lstm,1,raw_direct_lb24_u32_huber,ok,45,2,0.026265623569488528,0.026265623569488528,2.3006215975504887,,,0.9489641801975143,2,8.51,"{""config_id"": ""raw_direct_lb24_u32_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.1, ""epochs"": 8, ""lookback"": 24, ""loss"": ""huber"", ""units"": 32}, ""model"": ""lstm""}"
raw_lstm,1,raw_direct_lb48_u64_huber,ok,45,2,0.10939146697521202,0.10939146697521202,10.906531671932283,,,0.7354967893480089,2,13.6,"{""config_id"": ""raw_direct_lb48_u64_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.2, ""epochs"": 10, ""lookback"": 48, ""loss"": ""huber"", ""units"": 64}, ""model"": ""lstm""}"
raw_lstm,1,raw_recursive_lb48_u64_mse,ok,45,2,0.05117493510246274,0.05117493510246274,4.5396266106415,,,0.8982567051975202,2,13.88,"{""config_id"": ""raw_recursive_lb48_u64_mse"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": false, ""dropout"": 0.2, ""epochs"": 10, ""lookback"": 48, ""loss"": ""mse"", ""units"": 64}, ""model"": ""lstm""}"
pca_compressed_lstm,1,pca_c8_k12_seq8_u32_huber,ok,45,2,0.37489689469337467,0.37489689469337467,25.598624082352895,,,0.429977692518148,2,28.75,"{""config_id"": ""pca_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""statistical"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}"
pca_compressed_lstm,1,pca_c12_k16_seq12_u48_huber,ok,45,2,0.21054033994674687,0.21054033994674687,13.515763615073277,,,0.6807079469078723,2,28.22,"{""config_id"": ""pca_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""statistical"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}"
lstm_compressed_lstm,1,lstmenc_c8_k12_seq8_u32_huber,ok,45,2,0.12625746011734013,0.12625746011734013,6.992962589765909,,,0.8380787406731227,2,77.89,"{""config_id"": ""lstmenc_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""lstm"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}"
lstm_compressed_lstm,1,lstmenc_c12_k16_seq12_u48_huber,ok,45,2,0.1982932841777802,0.1982932841777802,10.169481279899278,,,0.7548989032337925,2,86.84,"{""config_id"": ""lstmenc_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""lstm"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}"
raw_lstm,3,raw_direct_lb24_u32_huber,ok,45,2,0.23003108660380042,0.2980391887150397,25.91752748447535,0.6902617988346507,0.86370038309488,0.5814578369746708,2,8.16,"{""config_id"": ""raw_direct_lb24_u32_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.1, ""epochs"": 8, ""lookback"": 24, ""loss"": ""huber"", ""units"": 32}, ""model"": ""lstm""}"
raw_lstm,3,raw_direct_lb48_u64_huber,ok,45,2,0.20760208725929255,0.2806991310247092,23.560354521082164,0.5803253512498181,0.7906590928643442,0.6049215254702276,2,15.99,"{""config_id"": ""raw_direct_lb48_u64_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.2, ""epochs"": 10, ""lookback"": 48, ""loss"": ""huber"", ""units"": 64}, ""model"": ""lstm""}"
raw_lstm,3,raw_recursive_lb48_u64_mse,ok,45,2,0.32900094926357265,0.3778924237312603,32.98122530236281,0.9134488718600358,1.0071251876262481,0.3713572087744278,2,16.23,"{""config_id"": ""raw_recursive_lb48_u64_mse"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": false, ""dropout"": 0.2, ""epochs"": 10, ""lookback"": 48, ""loss"": ""mse"", ""units"": 64}, ""model"": ""lstm""}"
pca_compressed_lstm,3,pca_c8_k12_seq8_u32_huber,ok,45,2,0.6619404252370198,0.6857407730640147,50.59644578574991,2.1665657391338233,2.223683026015643,-0.13106084153414566,2,31.27,"{""config_id"": ""pca_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""statistical"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}"
pca_compressed_lstm,3,pca_c12_k16_seq12_u48_huber,ok,45,2,0.2513507306575775,0.26335509515701727,29.577311215319156,0.7646829598890377,0.8055898349579742,0.5469170610604203,2,38.48,"{""config_id"": ""pca_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""statistical"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}"
lstm_compressed_lstm,3,lstmenc_c8_k12_seq8_u32_huber,ok,45,2,0.2807852208614349,0.35149750422452897,25.49876764076909,1.0238872091725189,1.183482661503236,0.5628859094506036,2,84.38,"{""config_id"": ""lstmenc_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""lstm"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}"
lstm_compressed_lstm,3,lstmenc_c12_k16_seq12_u48_huber,ok,45,2,0.47009375651677454,0.5064463743392241,37.222478139983515,1.7373281487021917,1.8063151139011557,0.27758737499291936,2,91.72,"{""config_id"": ""lstmenc_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""lstm"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}"
raw_lstm,6,raw_direct_lb24_u32_huber,ok,45,2,0.3476383304595947,0.41970559455978296,37.93649115667565,0.7050211262393307,0.8629090174392393,0.39664625002964404,2,9.28,"{""config_id"": ""raw_direct_lb24_u32_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.1, ""epochs"": 8, ""lookback"": 24, ""loss"": ""huber"", ""units"": 32}, ""model"": ""lstm""}"
raw_lstm,6,raw_direct_lb48_u64_huber,ok,45,2,0.35095059037208554,0.4102995624865835,36.27230945382598,0.709035404437204,0.8286301963084222,0.38632459068766706,2,21.24,"{""config_id"": ""raw_direct_lb48_u64_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.2, ""epochs"": 10, ""lookback"": 48, ""loss"": ""huber"", ""units"": 64}, ""model"": ""lstm""}"
raw_lstm,6,raw_recursive_lb48_u64_mse,ok,45,2,0.4369165116548538,0.47987512572903135,43.49990485770562,0.8619609318598352,0.9430940988819343,0.2008932653950043,2,22.65,"{""config_id"": ""raw_recursive_lb48_u64_mse"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": false, ""dropout"": 0.2, ""epochs"": 10, ""lookback"": 48, ""loss"": ""mse"", ""units"": 64}, ""model"": ""lstm""}"
pca_compressed_lstm,6,pca_c8_k12_seq8_u32_huber,ok,45,2,0.38706095198790236,0.4548514149977049,35.147024913509235,0.8323921949316413,0.9647548732817244,0.4084497506153798,2,33.36,"{""config_id"": ""pca_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""statistical"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}"
pca_compressed_lstm,6,pca_c12_k16_seq12_u48_huber,ok,45,2,0.4360841540495555,0.4599127263352707,36.57462956715554,0.9668750277157299,1.0146906822193438,0.3826830675775017,2,30.91,"{""config_id"": ""pca_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""statistical"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}"
lstm_compressed_lstm,6,lstmenc_c8_k12_seq8_u32_huber,ok,45,2,0.3237058349450429,0.3692119592939659,31.11476430797024,0.6987463250648752,0.7889719343989339,0.5096784784445079,2,98.02,"{""config_id"": ""lstmenc_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""lstm"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}"
lstm_compressed_lstm,6,lstmenc_c12_k16_seq12_u48_huber,ok,45,2,0.28692856709162395,0.3360622169763814,28.407694080386246,0.6188993576285128,0.7159987692518095,0.5646070554974221,2,151.62,"{""config_id"": ""lstmenc_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""lstm"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}"
raw_lstm,12,raw_direct_lb24_u32_huber,ok,45,2,0.40706791089226796,0.5272509547305585,36.08758240098874,0.39728820081476135,0.5140870118860492,0.28666273850131696,2,15.53,"{""config_id"": ""raw_direct_lb24_u32_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.1, ""epochs"": 8, ""lookback"": 24, ""loss"": ""huber"", ""units"": 32}, ""model"": ""lstm""}"
raw_lstm,12,raw_direct_lb48_u64_huber,ok,45,2,0.4355161932110786,0.5277637702801301,40.999701325952785,0.4220839777326846,0.5158361940098584,0.21973231443502095,2,27.07,"{""config_id"": ""raw_direct_lb48_u64_huber"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": true, ""dropout"": 0.2, ""epochs"": 10, ""lookback"": 48, ""loss"": ""huber"", ""units"": 64}, ""model"": ""lstm""}"
raw_lstm,12,raw_recursive_lb48_u64_mse,ok,45,2,0.440239678521951,0.49820692482576656,42.015437377858056,0.41904260607388544,0.4744346485924369,0.16744343433762787,2,32.94,"{""config_id"": ""raw_recursive_lb48_u64_mse"", ""lstm_cfg"": {""batch_size"": 32, ""direct"": false, ""dropout"": 0.2, ""epochs"": 10, ""lookback"": 48, ""loss"": ""mse"", ""units"": 64}, ""model"": ""lstm""}"
pca_compressed_lstm,12,pca_c8_k12_seq8_u32_huber,ok,45,2,0.5035854148864746,0.577548485980907,44.895574130750546,0.4999200665279404,0.5746426256319326,0.16603600660665768,2,44.0,"{""config_id"": ""pca_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""statistical"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}"
pca_compressed_lstm,12,pca_c12_k16_seq12_u48_huber,ok,45,2,0.4107363893588384,0.4872595234519952,38.27186556711404,0.4189911701412865,0.4980445481116784,0.3844774722446562,2,62.5,"{""config_id"": ""pca_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""statistical"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}"
lstm_compressed_lstm,12,lstmenc_c8_k12_seq8_u32_huber,ok,45,2,0.4010637015104294,0.4776470226890256,34.91861456803049,0.4151507988572121,0.4925413762469225,0.43363910442043374,2,99.55,"{""config_id"": ""lstmenc_c8_k12_seq8_u32_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.15, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 5, ""encoder_type"": ""lstm"", ""encoder_units"": 24, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 12, ""n_components"": 8, ""random_state"": 42, ""sequence_length"": 8, ""step_size"": 1, ""units"": 32, ""window_size"": 24}}"
lstm_compressed_lstm,12,lstmenc_c12_k16_seq12_u48_huber,ok,45,2,0.3902662161986033,0.4801508816435276,36.34169943729084,0.394665737960474,0.4844853695171628,0.3953442721657329,2,105.54,"{""config_id"": ""lstmenc_c12_k16_seq12_u48_huber"", ""model"": ""semantic_lstm"", ""semantic_lstm_cfg"": {""batch_size"": 16, ""dropout"": 0.2, ""encoder_batch_size"": 32, ""encoder_dropout"": 0.0, ""encoder_epochs"": 6, ""encoder_type"": ""lstm"", ""encoder_units"": 32, ""epochs"": 8, ""loss"": ""huber"", ""n_clusters"": 16, ""n_components"": 12, ""random_state"": 42, ""sequence_length"": 12, ""step_size"": 1, ""units"": 48, ""window_size"": 48}}"
